Date,GOOGL,FB,BIDU,LNKD,TWTR,ORCL,SAP,ADBE,IBM,MSFT,CSCO,T,VZ,NTT,WFC,JPM,BAC,C,BRK-B,AIG,HSBC,V,AXP,MA,GS,SCHW,DIS,CMCSA,TWX,BABA,TWC,WMT,COST,TGT,HD,PCLN,JNJ,NVS,PFE,MRK,GSK,BMY,GILD,AMGN,UNH,AET,CVS,AAPL,PG,UN,UL,TM,HMC,F,GM,KO,PEP,BUD,ABEV
2015-11-11,765.25,109.010002,199.490005,252.210007,26.50,39.040001,79.339996,91.209999,135.020004,53.650002,27.82,32.919998,45.32,39.060001,55.799999,67.349998,17.75,54.900002,134.960007,60.669998,39.740002,79.18,72.910004,100.879997,197.389999,33.529999,116.519997,61.549999,71.050003,79.849998,189.399994,57.580002,156.389999,74.870003,124.709999,1329.579956,101.860001,87.970001,33.740002,53.720001,40.970001,64.239998,107.190002,156.860001,114.540001,105.089996,94.849998,116.110001,75.959999,44.389999,43.369999,123.230003,32.57,14.31,35.549999,42.040001,99.43,121.629997,5.02
2015-11-10,758.26001,107.910004,196.990005,255.539993,27.049999,39.919998,78.300003,90.279999,135.470001,53.509998,27.98,32.790001,45.099998,38.779999,55.91,67.68,17.85,55.799999,134.729996,61.349998,39.66,79.480003,73.370003,100.650002,197.809998,33.330002,117.419998,61.57,69.739998,81.43,189.309998,58.68,156.410004,77.190002,125.260002,1323.540039,101.449997,88.349998,33.790001,54.43,40.959999,65.050003,108.849998,158.369995,115.889999,108.739998,97.839996,116.769997,75.769997,43.860001,42.84,123.589996,32.66,14.28,35.619999,41.77,98.830002,118.349998,4.92
2015-11-09,754.77002,106.489998,194.009995,254.520004,27.09,40.099998,78.839996,89.800003,135.309998,54.16,28.18,32.84,45.299999,38.669998,55.470001,67.389999,17.68,55.709999,134.00,61.209999,39.990002,78.040001,73.419998,100.470001,196.759995,33.490002,116.419998,61.349998,68.489998,81.379997,187.830002,58.490002,155.160004,76.230003,124.50,1311.150024,100.839996,88.529999,33.650002,54.240002,41.540001,64.989998,108.110001,159.630005,114.260002,108.00,97.989998,120.57,75.400002,43.869999,42.880001,122.220001,32.540001,14.33,35.669998,41.540001,98.879997,118.099998,4.83
2015-11-06,761.599976,107.099998,200.300003,250.639999,28.280001,40.619999,78.790001,90.690002,138.25,54.919998,28.450001,33.16,45.779999,38.639999,55.849998,68.459999,17.950001,55.869999,136.330002,61.93,39.860001,78.75,74.300003,101.50,199.169998,33.509998,115.669998,61.610001,68.860001,83.610001,188.089996,58.779999,157.550003,77.220001,125.980003,1449.900024,101.919998,89.629997,33.93,54.610001,41.919998,65.449997,108.339996,160.460007,114.809998,107.550003,98.699997,121.059998,75.57,44.439999,43.380001,122.919998,32.509998,14.52,35.75,41.959999,99.720001,118.959999,4.98
2015-11-05,760.669983,108.760002,198.910004,249.740005,28.66,40.349998,79.949997,90.550003,139.889999,54.380001,28.43,33.34,46.200001,38.130001,54.860001,66.440002,17.309999,54.150002,136.570007,62.00,39.509998,79.260002,73.93,100.690002,192.020004,31.57,113.00,61.810001,69.43,85.379997,187.679993,58.610001,156.270004,78.150002,125.720001,1462.640015,102.330002,90.279999,34.150002,55.049999,42.279999,65.550003,107.830002,161.220001,116.230003,111.269997,99.540001,120.919998,76.389999,45.299999,44.150002,124.860001,32.810001,14.57,35.439999,42.330002,100.610001,120.629997,5.06
2015-11-04,755.309998,103.940002,197.919998,253.020004,29.360001,40.48,79.129997,91.010002,141.630005,54.400002,28.469999,33.48,46.139999,37.25,54.580002,65.849998,17.01,53.830002,137.429993,60.799999,40.040001,78.349998,74.07,100.519997,191.649994,31.440001,113.25,61.459999,72.199997,85.400002,188.649994,58.369999,157.149994,77.389999,125.379997,1469.560059,101.940002,89.889999,34.139999,55.529999,42.599998,65.620003,108.980003,161.880005,114.639999,108.660004,99.57,122.00,77.059998,45.18,44.349998,123.559998,32.09,14.65,35.419998,41.970001,100.620003,119.260002,5.06
2015-11-03,748.820007,102.580002,192.50,247.770004,29.129999,40.200001,80.220001,90.360001,141.880005,54.150002,28.610001,33.630001,46.450001,37.040001,54.93,65.779999,17.18,54.16,137.940002,60.959999,39.02,77.900002,74.029999,100.120003,190.690002,31.49,115.540001,62.560001,77.300003,83.440002,189.309998,58.110001,158.800003,78.230003,125.660004,1464.900024,101.959999,90.209999,34.970001,55.110001,42.50,66.080002,109.099998,162.460007,117.660004,111.809998,99.889999,122.57,77.050003,45.360001,44.57,123.389999,33.25,14.81,35.779999,42.16,100.919998,118.809998,5.17
2015-11-02,747.73999,103.309998,195.190002,240.50,29.200001,39.75,79.839996,89.910004,140.369995,53.240002,28.77,33.610001,46.779999,37.119999,54.849998,65.540001,17.059999,53.830002,138.399994,63.740002,39.040001,75.220001,73.940002,99.379997,189.679993,31.370001,115.040001,62.740002,76.559998,84.349998,187.410004,57.610001,159.149994,77.260002,124.410004,1467.189941,102.169998,91.040001,35.060001,55.110001,43.110001,65.75,109.599998,162.309998,118.690002,115.339996,100.379997,121.18,76.599998,45.400002,44.599998,123.300003,33.299999,14.75,35.57,42.240002,101.400002,119.559998,4.95
2015-10-30,737.390015,101.970001,187.470001,240.869995,28.459999,38.84,78.709999,88.660004,140.080002,52.639999,28.85,33.509998,46.880001,36.73,54.139999,64.25,16.780001,53.169998,136.020004,63.060001,39.07,77.580002,73.260002,98.989998,187.50,30.52,113.739998,62.619999,75.339996,83.830002,189.399994,57.240002,158.119995,77.18,123.639999,1454.23999,101.029999,90.43,33.82,54.66,43.060001,65.949997,108.129997,158.179993,117.779999,114.779999,98.779999,119.50,76.379997,44.98,44.450001,122.620003,33.130001,14.81,34.91,42.349998,102.190002,119.330002,4.87
2015-10-29,744.849976,104.879997,168.990005,217.00,29.059999,38.860001,78.120003,88.120003,140.550003,53.360001,29.139999,33.549999,46.400002,36.689999,55.09,65.209999,17.09,53.66,137.889999,63.490002,39.23,78.510002,74.220001,100.589996,189.889999,31.00,115.040001,63.060001,75.470001,82.220001,191.820007,57.959999,158.279999,76.279999,123.629997,1425.650024,101.370003,90.959999,34.77,54.869999,42.790001,67.309998,109.209999,160.580002,119.709999,114.860001,103.800003,120.529999,77.019997,45.43,44.990002,123.239998,32.98,14.73,34.75,42.790001,102.800003,117.739998,4.87
